row_number,physical_quantity,physical_symbol,sensor_code,biome,role
150,Economizer / damper control,u_AHUS6_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS6_EDCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
151,Economizer / damper control,u_AHUS6_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS6_EDPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
152,Economizer / damper control,u_AHUS6_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS6_EDPOSSP,"Inventory BIOM=4, BIOMNAME=Savanna."
154,Supply fan command,u_AHUS6_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Savanna.",UAB2_BIO1_B4000_AHUS6_SFCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
155,Temperature setpoint,u_AHUS6_MaxSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS6_MAXSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
156,Temperature setpoint,u_AHUS6_MinSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS6_MINSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
157,Temperature setpoint,u_AHUS6_SATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS6_SATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
158,Valve command / position,u_AHUS6_MinVlvPos,Changes hydronic/air/water flow through equipment serving Savanna.,UAB2_BIO1_B4000_AHUS6_MINVLVPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
159,Cooling valve command,u_AHUS7_TWCCVlvCmd,Changes cooling capacity available to Savanna or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUS7_TWCCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
160,Economizer / damper control,u_AHUS7_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS7_EDCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
161,Economizer / damper control,u_AHUS7_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS7_EDPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
162,Economizer / damper control,u_AHUS7_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS7_EDPOSSP,"Inventory BIOM=4, BIOMNAME=Savanna."
164,Supply fan command,u_AHUS7_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Savanna.",UAB2_BIO1_B4000_AHUS7_SFCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
165,Temperature setpoint,u_AHUS7_MaxSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS7_MAXSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
166,Temperature setpoint,u_AHUS7_MinSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS7_MINSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
167,Temperature setpoint,u_AHUS7_SATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS7_SATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
168,Valve command / position,u_AHUS7_MinVlvPos,Changes hydronic/air/water flow through equipment serving Savanna.,UAB2_BIO1_B4000_AHUS7_MINVLVPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
